record_id,item,framing_arm,proof_variant,segment,n_shown,n_best,n_worst,bw_score
17.0,2,2,1,5,3,0,2,-2
18.0,16,2,1,13,4,4,0,4
18.0,7,2,0,13,4,0,1,-1
18.0,14,2,0,13,3,1,1,0
18.0,11,2,2,13,3,0,0,0
18.0,15,2,1,13,3,0,1,-1
18.0,8,2,0,13,3,0,1,-1
18.0,17,2,0,13,4,1,0,1
18.0,12,2,1,13,3,1,1,0
18.0,1,2,1,13,4,1,1,0
18.0,9,2,0,13,3,0,0,0
18.0,13,2,3,13,2,0,2,-2
18.0,2,2,1,13,4,1,2,-1
18.0,10,2,1,13,3,1,1,0
18.0,3,2,3,13,4,1,1,0
18.0,4,2,3,13,3,1,0,1
18.0,5,2,2,13,3,1,1,0
18.0,6,2,3,13,3,1,1,0
19.0,14,2,0,16,3,0,1,-1
19.0,11,2,2,16,3,1,0,1
19.0,10,2,2,16,3,2,1,1
19.0,16,2,3,16,4,0,2,-2
19.0,17,2,0,16,4,0,1,-1
19.0,15,2,2,16,3,2,0,2
19.0,12,2,2,16,3,0,3,-3
19.0,1,2,3,16,4,1,0,1
19.0,13,2,2,16,2,0,0,0
19.0,2,2,1,16,4,1,1,0
19.0,3,2,3,16,4,0,2,-2
19.0,4,2,3,16,4,1,0,1
19.0,5,2,2,16,4,3,1,2
19.0,6,2,2,16,4,2,0,2
19.0,7,2,0,16,3,0,2,-2
19.0,8,2,0,16,2,0,0,0
19.0,9,2,0,16,2,1,0,1
21.0,3,2,2,2,4,4,0,4
21.0,12,2,2,2,4,0,1,-1
21.0,10,2,2,2,3,2,0,2
21.0,7,2,0,2,3,0,3,-3
21.0,13,2,3,2,4,0,2,-2
21.0,8,2,0,2,3,0,2,-2
21.0,4,2,3,2,3,1,2,-1
21.0,11,2,1,2,3,0,0,0
21.0,14,2,0,2,4,2,0,2
21.0,5,2,2,2,3,0,0,0
21.0,9,2,0,2,2,1,0,1
21.0,15,2,1,2,4,2,1,1
21.0,6,2,2,2,3,1,1,0
21.0,16,2,3,2,4,0,1,-1
21.0,17,2,0,2,3,0,0,0
21.0,1,2,2,2,3,0,0,0
21.0,2,2,1,2,3,1,1,0
22.0,1,2,2,6,3,0,0,0
22.0,3,2,1,6,4,0,2,-2
22.0,11,2,1,6,4,4,0,4
22.0,15,2,1,6,3,1,0,1
22.0,16,2,3,6,3,1,1,0
22.0,4,2,1,6,4,0,4,-4
22.0,2,2,2,6,3,0,0,0
22.0,12,2,2,6,3,0,0,0
22.0,17,2,0,6,2,1,0,1
22.0,5,2,1,6,4,0,0,0
22.0,13,2,2,6,3,0,1,-1
22.0,6,2,3,6,4,1,2,-1
22.0,14,2,0,6,3,2,0,2
22.0,7,2,0,6,4,0,1,-1
22.0,8,2,0,6,3,0,2,-2
22.0,9,2,0,6,3,1,1,0
22.0,10,2,2,6,3,3,0,3
23.0,12,2,2,10,3,2,0,2
23.0,9,2,0,10,3,1,0,1
23.0,3,2,2,10,4,1,1,0
23.0,13,2,2,10,4,0,3,-3
23.0,14,2,0,10,4,0,1,-1
23.0,4,2,3,10,4,0,0,0
23.0,10,2,2,10,2,1,0,1
23.0,15,2,2,10,4,1,0,1
23.0,5,2,2,10,4,2,2,0
23.0,11,2,2,10,2,0,0,0
23.0,16,2,2,10,4,0,0,0
23.0,6,2,2,10,3,0,3,-3
23.0,7,2,0,10,3,2,0,2
23.0,17,2,0,10,3,2,0,2
23.0,1,2,1,10,3,1,1,0
23.0,8,2,0,10,3,1,2,-1
23.0,2,2,1,10,3,0,1,-1
24.0,2,1,3,15,4,3,0,3
24.0,7,1,0,15,3,0,0,0
24.0,8,1,0,15,4,0,2,-2
24.0,17,1,0,15,3,1,0,1
24.0,1,1,1,15,3,1,1,0
24.0,9,1,0,15,4,0,1,-1
24.0,3,1,2,15,4,0,2,-2
24.0,10,1,2,15,4,1,2,-1
24.0,4,1,3,15,3,0,0,0
24.0,11,1,2,15,4,0,1,-1
24.0,5,1,1,15,2,1,0,1
24.0,6,1,2,15,2,2,0,2
24.0,12,1,1,15,4,0,2,-2
24.0,13,1,3,15,4,0,3,-3
24.0,14,1,0,15,3,1,0,1
24.0,15,1,2,15,3,2,0,2
24.0,16,1,2,15,2,2,0,2
25.0,12,1,1,4,3,0,2,-2
25.0,8,1,0,4,3,2,0,2
25.0,14,1,0,4,4,1,0,1
25.0,9,1,0,4,3,1,0,1
25.0,15,1,2,4,4,0,1,-1
25.0,13,1,2,4,3,3,0,3
25.0,10,1,2,4,3,2,0,2
25.0,16,1,2,4,4,0,3,-3
25.0,11,1,1,4,2,0,1,-1
25.0,17,1,0,4,4,1,0,1
25.0,1,1,2,4,4,0,2,-2
25.0,2,1,2,4,4,0,1,-1
25.0,3,1,2,4,4,0,2,-2
25.0,4,1,2,4,4,2,1,1
25.0,5,1,2,4,3,2,0,2
25.0,6,1,1,4,2,0,1,-1
25.0,7,1,0,4,2,0,0,0
27.0,15,2,1,13,3,1,0,1
27.0,12,2,2,13,3,0,2,-2
27.0,17,2,0,13,4,1,1,0
27.0,11,2,2,13,3,1,0,1
27.0,1,2,1,13,4,2,0,2
27.0,13,2,1,13,3,0,1,-1
27.0,16,2,1,13,3,0,1,-1
27.0,2,2,1,13,4,1,0,1
27.0,14,2,0,13,2,0,2,-2
27.0,3,2,3,13,4,0,1,-1
27.0,4,2,3,13,4,0,1,-1
27.0,5,2,1,13,4,1,3,-2
27.0,6,2,3,13,4,3,0,3
27.0,7,2,0,13,4,3,0,3
27.0,8,2,0,13,3,1,1,0
27.0,9,2,0,13,2,0,1,-1
27.0,10,2,1,13,2,0,0,0
28.0,2,1,3,3,3,0,1,-1
28.0,1,1,3,3,3,0,1,-1
28.0,7,1,0,3,4,1,2,-1
28.0,5,1,1,3,3,1,0,1
28.0,3,1,2,3,3,0,1,-1
28.0,8,1,0,3,4,3,0,3
28.0,6,1,2,3,3,1,1,0
28.0,9,1,0,3,4,1,1,0
28.0,4,1,2,3,2,0,1,-1
28.0,10,1,2,3,4,1,2,-1
28.0,11,1,2,3,4,0,2,-2
28.0,12,1,2,3,4,2,1,1
28.0,13,1,1,3,4,2,0,2
28.0,14,1,0,3,4,0,0,0
28.0,15,1,2,3,3,2,0,2
28.0,16,1,2,3,2,0,0,0
