message,segment,proof,arm,n,lift_raw,msg_marginal,lift_shrunk,shrink_weight,ci_low,ci_high
1,6,3,2,13,0.10496418109882881,0.027768479607950966,0.06461636817103618,0.47733083386047737,-0.015798558,0.10556984
1,7,1,1,12,0.1882708224129244,0.027768479607950966,0.10118354738102345,0.4574080757330702,-0.05829511,0.18692191
1,7,1,2,4,0.1736471195646585,0.027768479607950966,0.05976856825244703,0.21936102951050776,0.0070058787,0.083291106
1,7,2,1,16,0.1856753540384061,0.027768479607950966,0.11133151642181464,0.5291918867703651,-0.06459169,0.2639828
1,7,2,2,11,0.26024082978314367,0.027768479607950966,0.12910464756546622,0.4359063255528997,-0.0882235,0.2424148
1,7,3,1,7,-0.442045142652369,0.027768479607950966,-0.12710458411556877,0.32964787819137736,-0.21699576,0.015626276
1,7,3,2,11,-0.0038606064443990062,0.027768479607950966,0.01398116092627462,0.4359063255528997,-0.11535593,0.2314569
1,8,1,1,37,-0.26645108020197567,0.027768479607950966,-0.18470679252351763,0.7221656924126088,-0.35973126,0.035628673
1,8,1,2,43,0.10799493013125697,0.027768479607950966,0.08804192529504286,0.7512914418366582,-0.056949485,0.24639025
1,8,2,1,50,0.2930516677454492,0.027768479607950966,0.23426345809007373,0.7783945146765007,0.06655993,0.365304
1,8,2,2,39,0.033275820382295485,0.027768479607950966,0.03180317820707492,0.7326037673062209,-0.10745283,0.21178979
1,8,3,1,42,0.013706225063686215,0.027768479607950966,0.017265820998763177,0.746868759637925,-0.13868104,0.18366277
1,8,3,2,39,0.033277054858718194,0.027768479607950966,0.03180408258915285,0.7326037673062209,-0.11878717,0.17701739
1,9,1,1,32,0.2741300623137722,0.027768479607950966,0.19828017523978186,0.6921196631352943,0.020362448,0.32391897
1,9,1,2,25,0.029877080573092636,0.027768479607950966,0.029112058565828033,0.6371897670960198,-0.13652344,0.19891343
1,9,2,1,22,0.046004584312837896,0.027768479607950966,0.038840557574101486,0.607151480282048,-0.10142939,0.1617357
1,9,2,2,21,0.07454499843024513,0.027768479607950966,0.05564737965268423,0.5960020272275135,-0.1029833,0.21094221
1,9,3,1,24,0.17872508027404727,0.027768479607950966,0.12252405202393797,0.627700756362278,-0.11411411,0.3190649
1,9,3,2,30,-0.004432118462370103,0.027768479607950966,0.005930053974800618,0.6781993795723497,-0.14500286,0.14637709
1,10,1,1,7,0.5250860958527873,0.027768479607950966,0.19170817659025494,0.32964787819137736,0.056667015,0.22884606
1,10,1,2,12,-0.3235421593422809,0.027768479607950966,-0.13292384373882998,0.4574080757330702,-0.29261357,0.07903973
1,10,2,1,16,0.02545215873173124,0.027768479607950966,0.026542701393098667,0.5291918867703651,-0.17533435,0.23564823
1,10,2,2,12,0.1044786352390584,0.027768479607950966,0.06285632428436015,0.4574080757330702,-0.02220805,0.1443209
1,10,3,1,9,0.06362995828733446,0.027768479607950966,0.041659435980867396,0.3873503515319974,-0.030840881,0.099720396
1,10,3,2,12,0.5144215685696055,0.027768479607950966,0.250367532579456,0.4574080757330702,-0.12817657,0.47873855
1,11,1,1,31,0.11759318321108887,0.027768479607950966,0.08932655159600106,0.6853133883973054,-0.05920231,0.20096071
1,11,1,2,37,0.03093994846793546,0.027768479607950966,0.030058805613186693,0.7221656924126088,-0.13454235,0.18905753
1,11,2,1,39,0.08707784123682807,0.027768479607950966,0.07121874137379336,0.7326037673062209,-0.044874292,0.1795824
1,11,2,2,44,-0.08684823507559428,0.027768479607950966,-0.05883158123132594,0.7555622325973848,-0.14214616,0.05059459
1,11,3,1,30,0.0052610084875335476,0.027768479607950966,0.012503926658341295,0.6781993795723497,-0.12764734,0.14254054
1,11,3,2,40,-0.17919765619467715,0.027768479607950966,-0.124876105863268,0.7375341133913206,-0.26936212,0.07537702
1,12,1,1,59,0.19440944090924195,0.027768479607950966,0.16201912918128197,0.8056281512358927,-0.023757428,0.30244985
1,12,1,2,53,0.12114556438311283,0.027768479607950966,0.10137600135837976,0.7882824991555987,-0.07648427,0.23478074
1,12,2,1,65,-0.061255398541114385,0.027768479607950966,-0.04526197643094841,0.820346827809659,-0.18185426,0.111057594
1,12,2,2,63,0.12454843609826126,0.027768479607950966,0.10671137683387247,0.8156946963891779,-0.06671906,0.25469404
1,12,3,1,60,0.02331529525491516,0.027768479607950966,0.024169208982407306,0.8082464906466276,-0.10047932,0.1535416
1,12,3,2,54,0.1466365430545126,0.027768479607950966,0.12183891516694645,0.7913852790349009,-0.04144724,0.24793835
1,13,1,1,49,0.09562254204733446,0.027768479607950966,0.08034791590522887,0.7748900273178048,-0.07508939,0.25723267
1,13,1,2,73,-0.013415212848003552,0.027768479607950966,-0.006694948478272368,0.8368221990556474,-0.12895669,0.115086876
1,13,2,1,63,0.10017335933098451,0.027768479607950966,0.08682875599072576,0.8156946963891779,-0.059452865,0.23523292
1,13,2,2,53,-0.0011931288253023105,0.027768479607950966,0.004938550532620211,0.7882824991555987,-0.15222459,0.15224868
1,13,3,1,55,-0.17303366477060667,0.027768479607950966,-0.13174842827419028,0.7943984282429557,-0.24605575,0.03742518
1,13,3,2,61,0.056772240264240395,0.027768479607950966,0.05128459027142808,0.8107952255625057,-0.058032475,0.15866402
1,14,1,1,16,-0.10071680190525265,0.027768479607950966,-0.04022488893824277,0.5291918867703651,-0.16820769,0.17561877
1,14,1,2,11,0.16465895108578268,0.027768479607950966,0.08743990203305661,0.4359063255528997,-0.050813545,0.1896213
1,14,2,1,15,0.2857320976064812,0.027768479607950966,0.16012638818741504,0.5130875028284732,-0.08359167,0.30705523
1,14,2,2,12,0.056447151559373576,0.027768479607950966,0.04088633575983116,0.4574080757330702,-0.0437402,0.12967414
1,14,3,1,10,-0.05114991525294995,0.027768479607950966,-0.004795627245397845,0.4126301214152326,-0.11559842,0.13441758
1,14,3,2,7,-0.1167945353707661,0.027768479607950966,-0.019886411544731423,0.32964787819137736,-0.09073037,0.07715319
1,15,1,1,13,-0.13631799206273948,0.027768479607950966,-0.050555052739843294,0.47733083386047737,-0.17354044,0.0956396
1,15,1,2,9,0.2552826292474169,0.027768479607950966,0.11589616544930156,0.3873503515319974,0.011182441,0.23505671
1,15,2,1,10,0.13884483138726347,0.027768479607950966,0.07360192812900977,0.4126301214152326,0.0010789104,0.16455871
1,15,2,2,11,0.15204582616600168,0.027768479607950966,0.08194176109553516,0.4359063255528997,0.0044511445,0.12072283
1,15,3,1,14,0.16218872519734118,0.027768479607950966,0.09441973287777128,0.49584237089863703,-0.07654539,0.22264014
1,15,3,2,14,-0.1110115410010787,0.027768479607950966,-0.04104453484419201,0.49584237089863703,-0.11962572,0.07059143
1,16,1,1,51,-0.06441355526720655,0.027768479607950966,-0.04429865721670527,0.7817915597356583,-0.20581049,0.108526245
1,16,1,2,34,-0.2795353567296453,0.027768479607950966,-0.18884556004874675,0.7048855694034714,-0.31490028,0.01736602
1,16,2,1,33,-0.12168516346697529,0.027768479607950966,-0.07664547713307017,0.6986377487544738,-0.23136142,0.11916053
1,16,2,2,46,0.061788646151691454,0.027768479607950966,0.053748945951117975,0.763678399685767,-0.042010922,0.14687301
1,16,3,1,39,-0.037916401011216565,0.027768479607950966,-0.02035251138871054,0.7326037673062209,-0.11592452,0.09035482
1,16,3,2,34,0.21220918148484522,0.027768479607950966,0.15777806877162148,0.7048855694034714,-0.05960574,0.33370346
2,1,1,1,35,-0.12583044593332957,-0.03353937878975909,-0.09914721503946598,0.7108795930124588,-0.30150935,0.13844402
2,1,1,2,29,-0.07490359340861112,-0.03353937878975909,-0.06128468565445124,0.6707562834287933,-0.18401752,0.0894616
2,1,2,1,25,-0.0572152836665266,-0.03353937878975909,-0.04862542310397411,0.6371897670960198,-0.25211805,0.14226949
